,episode,role_setting,images,symbol,guess,success
83,84,0,[23395 12821 33582  3042],40,0,True
84,85,0,[45072 23136 41057  9641],33,1,True
85,86,0,[24841 38648  4657 31967],40,2,False
86,87,0,[ 9929 26075 40157 15746],33,1,True
87,88,0,[24200 40295  7113  7309],40,0,False
88,89,0,[13184 43450  6910 26652],40,0,False
89,90,0,[46170 19187  3144 30014],33,3,True
90,91,0,[24032 45315  5760 50437],40,0,True
91,92,0,[ 6866  9919 24670 19147],40,0,True
92,93,0,[14765 25209 29832 10338],40,2,False
93,94,0,[45668 26179 43057 12460],33,3,False
94,95,0,[27327 16188 33105 27692],40,1,False
95,96,0,[ 7728 15601 22729 32477],40,0,False
96,97,0,[42523 35295 42818 51072],40,2,True
97,98,0,[51405 26230 31398 34756],40,0,False
98,99,0,[42524 48130  2558 32649],33,3,False
99,100,0,[28576 11235 37360  9226],40,1,False
100,101,0,[25570 15316 46320 26226],33,2,True
101,102,0,[10774  9338 11470  8548],40,0,False
102,103,0,[ 6094 36567 16748 25276],40,1,False
103,104,0,[23991 25550 34479 42028],40,0,False
104,105,0,[33225  8330 49884  8210],40,2,False
105,106,0,[ 5191   267 37927 11901],40,3,False
106,107,0,[50496 34113 28910 20911],40,2,False
107,108,0,[50516 38515 29694 28440],33,1,False
108,109,0,[12213 15539 48173 24670],40,0,True
109,110,0,[36413 20197 42608 51766],40,3,False
110,111,0,[43707 41508 51626 46397],33,1,False
111,112,0,[49133  8839 28182  7887],33,3,False
112,113,0,[37157 42001 51154 41904],33,3,True
113,114,0,[35304 13844 34932 17243],40,1,False
114,115,0,[47341 41997  5193 22281],40,0,False
115,116,0,[25337 39348 40020 41372],40,2,True
116,117,0,[49754 50761 51241  5516],33,0,True
117,118,0,[29667 33648  9438 14002],33,3,True
118,119,0,[ 4594 12784  4830 24608],33,1,True
119,120,0,[ 5336 41129 20968 44149],40,2,True
120,121,0,[34111  7193 25618 34296],33,0,True
121,122,0,[ 3730 31554 49747 19760],40,2,False
122,123,0,[10488  1529 50809 23799],40,2,True
123,124,0,[40852 33718 21609  1230],33,1,False
124,125,0,[21051 51015 34490 19824],40,3,False
125,126,0,[20292 23949 13699 50028],33,2,True
126,127,0,[31238 41569  7915 28735],40,3,False
127,128,0,[ 4631 38130 28788 30638],33,2,True
128,129,0,[24591 48662 41548 44950],33,3,True
129,130,0,[ 1816 10627 20258 14871],33,2,False
130,131,0,[33936 45941  4730 35331],33,2,False
131,132,0,[11048 51252 42095 43682],40,0,True
132,133,0,[28607  7317 14166 34108],40,0,False
133,134,0,[21410 19320  8956 52313],33,1,True
134,135,0,[20485 15300  8857 19759],33,2,False
135,136,0,[48115  4914 48535 24272],40,1,False
136,137,0,[17062 52396  6042 47536],33,3,True
137,138,0,[40527  3380  7217  9268],40,2,True
138,139,0,[18760 27278 48711 40543],33,0,True
139,140,0,[13857 22906  8966 16808],40,2,True
140,141,0,[30476  1970 38759 24387],40,0,True
141,142,0,[39469 37528  7345 38074],33,3,True
142,143,0,[ 9223 33056  3401  7994],40,2,True
143,144,0,[27317  8459  5036 51132],40,2,False
144,145,0,[14655 22596 44677  2170],33,3,True
145,146,0,[33551 47353 52272 26528],33,1,False
146,147,0,[42769 49879  5205 17412],40,3,True
147,148,0,[36022 50278 25724  6896],33,3,True
148,149,0,[38595 30940 34178 16866],33,3,True
149,150,0,[52238   826 38693 19490],40,3,False
150,151,0,[28449 40702 20540 23771],40,1,False
151,152,0,[28732 23793 35494  7221],40,3,False
152,153,0,[28949 19219 35777 47450],33,2,True
153,154,0,[26729 17367 13150 29482],33,0,False
154,155,0,[50871 27612 45879 22455],33,2,False
155,156,0,[10304 52504 40821 37150],40,3,False
156,157,0,[ 3479 34314 50056 38289],40,0,True
157,158,0,[45076 47584 20065 48048],33,1,True
158,159,0,[13712 22957 17422 52133],40,2,False
159,160,0,[  307 24796  7875 49939],33,2,False
160,161,0,[39984 28709 18850 26747],33,3,True
161,162,0,[29730  6256  1906 52309],33,3,False
162,163,0,[ 4334 48993 29475 27730],33,2,False
163,164,0,[28828  6882 50752 11886],33,1,False
164,165,0,[42380 17911  2893 23088],33,3,False
165,166,0,[21224  1504 19878 22516],33,0,True
166,167,0,[10295 27504  6222 24857],33,0,False
167,168,0,[21992 10479 34428  7234],33,0,False
168,169,0,[ 8324 44592 21137 12007],33,0,False
169,170,0,[48096  3906 20408  6493],33,2,False
170,171,0,[29253   841 15085 14617],33,0,False
171,172,0,[39968  6344 21283 38995],33,2,False
172,173,0,[10072 26776 51353 42867],40,2,False
173,174,0,[38141 31505  5029 47408],40,1,False
174,175,0,[31544  4391 28321 41005],40,1,True
175,176,0,[ 8305 39851 45196 38346],33,3,True
176,177,0,[38249 24416 40953 44309],40,2,False
177,178,0,[ 9738  1797 35166 16562],40,0,True
178,179,0,[18721 41125 31215 50053],40,1,False
179,180,0,[46662  7092 10303 11696],33,1,False
180,181,0,[20365 37314 20481 24612],40,0,True
181,182,0,[41986  1171  9667 37853],40,1,False
182,183,0,[ 2398 21507 40569  1611],33,3,True
183,184,0,[11307  2310 22733 10723],40,1,True
184,185,0,[ 1999 13161 42812 36083],33,0,True
185,186,0,[45676  6311 15559  9179],33,0,False
186,187,0,[ 8487 28122 23460 40553],33,1,False
187,188,0,[27876 17649 19115   723],33,3,False
188,189,0,[50415 26682  2772 35672],33,1,True
189,190,0,[48938 23396 41802 36427],33,3,True
190,191,0,[28917 26738 36400 18889],33,2,True
191,192,0,[32618 42444  3267 15959],33,1,True
192,193,0,[28837  2234 38322 29892],40,3,True
193,194,0,[30828 31109 44407 25567],33,1,False
194,195,0,[44682 34430  4717  3147],40,0,False
195,196,0,[ 9432  4693  4287 40593],33,2,True
196,197,0,[32228 40972 26250  3333],40,1,False
197,198,0,[19632  9621  5318 28309],33,0,False
198,199,0,[25383 37179  3370 12179],33,1,True
199,200,0,[45811 38294  9652 12726],33,0,False
200,201,0,[33777 24808 23268 40757],40,3,False
201,202,0,[30475 48060 10897  8155],40,1,False
202,203,0,[38285 38130 18197  1150],33,2,False
203,204,0,[ 6610  3138 22198 30979],33,0,True
204,205,0,[13795  2763 29881 17976],33,3,False
205,206,0,[ 1548 32564 15069  2887],33,2,True
206,207,0,[27948  3218 47843 42747],33,3,False
207,208,0,[16849 37252 22683 13603],40,2,False
208,209,0,[ 9914  5506 32399 35954],33,2,False
209,210,0,[ 6668 47772 17401 31731],33,3,True
210,211,0,[35315 26138 39761 21959],40,1,False
211,212,0,[ 9418 29616 40248 37896],33,1,False
212,213,0,[46983 30983 42568 33559],33,2,False
213,214,0,[28163  4014 13499 42774],40,2,True
214,215,0,[28329  8989 40502 22836],33,0,True
215,216,0,[19641 25414 34201 25492],33,2,True
216,217,0,[49724   221 12735 45056],33,1,False
217,218,0,[ 5965 40059  8792  4275],33,2,False
218,219,0,[40831 40644 16365 39994],33,3,True
219,220,0,[ 4282  5201 20183 36679],33,1,True
220,221,0,[31043  9301  4996  1113],33,1,True
221,222,0,[45686 29223 14433  3854],40,2,False
222,223,0,[28486 23219 19583 44702],40,3,False
223,224,0,[ 8729 24415 20973  6114],33,1,False
224,225,0,[31936 48568 43195 12978],40,3,False
225,226,0,[41659 22678 20146 50474],40,3,True
226,227,0,[ 2113 18938 24693 47680],40,3,False
227,228,0,[21465   433 45578  1659],40,2,False
228,229,0,[  689 37829  7636 47290],40,0,False
229,230,0,[ 2209 50819 22446 35955],33,3,False
230,231,0,[47605 37777 10591 33229],40,3,False
231,232,0,[  242 52248 36577 22576],33,1,False
232,233,0,[ 1512 28445 39144 28227],33,3,True
233,234,0,[21187 21920  1957   516],40,0,False
234,235,0,[40201 29044 26644 26350],33,0,True
235,236,0,[35337 38956  9570 20643],33,0,True
236,237,0,[ 9923 21254  7074  8527],40,3,False
237,238,0,[21303 26727 25701 48795],33,0,True
238,239,0,[ 9235 24849  6893 21743],40,0,True
239,240,0,[ 7611 36165 40097 33146],40,3,True
240,241,0,[48833 25158 44000 20733],40,2,True
241,242,0,[22347 24594 30816 42209],40,1,True
242,243,0,[25418 18740 10365 18200],33,2,True
243,244,0,[33058 15665  6861 46618],40,3,True
244,245,0,[21222 38199  7200 41808],40,2,False
245,246,0,[40445 27346 32217  1782],33,0,False
246,247,0,[27387 32459 10573 17267],40,2,True
247,248,0,[45769 46225 31947  7080],33,3,False
248,249,0,[16629 11384 36356 35177],40,0,False
249,250,0,[ 7267 25771  6936 20848],40,3,True
250,251,0,[48298 15763 21801 23959],40,2,False
251,252,0,[25472 43178 37163 34140],40,2,False
252,253,0,[40801 11510  2600 44832],33,1,True
253,254,0,[28396 30014 41829 22431],33,3,True
254,255,0,[14911 10495 40099 16641],40,1,False
255,256,0,[51133 26397 12524 48731],33,3,False
256,257,0,[ 1822 41252 35683 40615],33,2,True
257,258,0,[26044 18748 13374 31810],33,2,True
258,259,0,[12171 47634  1873 35092],40,0,True
259,260,0,[ 4227  8214 17336 50522],33,3,True
260,261,0,[34003 17519 20228 40099],40,3,False
261,262,0,[28581  7478 39529  6899],40,1,False
262,263,0,[26400 41197 11737 49869],33,0,True
263,264,0,[32950 24142  8356 16979],33,1,True
264,265,0,[28433  9279 41895 44317],40,1,False
265,266,0,[41327 22103  1696  3340],40,1,False
266,267,0,[32736 17519 52213 50841],40,1,True
267,268,0,[19221 50749 18489 51099],40,0,False
268,269,0,[50465 40288 31973  7896],40,2,True
269,270,0,[43572 17018  8688  2946],40,2,True
270,271,0,[18723 37354 26163 46790],40,0,False
271,272,0,[42012  5198  6500  5180],33,1,False
272,273,0,[41038 49740 13525 13781],33,3,True
273,274,0,[12140 38835 43006 46905],40,2,True
274,275,0,[39088 14434 40436  3685],33,0,False
275,276,0,[ 6453  4678 33212 49451],40,3,True
276,277,0,[26395 23448  6370 12868],40,2,False
277,278,0,[39137 50192 18342 10691],40,0,False
278,279,0,[24594 48062 38135 10520],33,3,True
279,280,0,[ 6404 18859 33365 19771],40,1,True
280,281,0,[ 6804 11432 28109 10510],33,0,False
281,282,0,[51638  5179 30797 15739],33,3,False
282,283,0,[18657 19983   842 50560],33,0,False
283,284,0,[14104 32519 28584 44085],40,1,True
284,285,0,[27629 16684 19598 10091],33,0,True
285,286,0,[ 3789 13835 33940  2392],40,1,False
286,287,0,[14487  7978 45753 34479],33,1,True
287,288,0,[ 3881 19509 43657  8557],40,3,False
288,289,0,[38666 43737  8936 29722],33,2,True
289,290,0,[20685  4831 25330 48240],33,0,True
290,291,0,[ 4946 44851  8006 31426],40,2,False
291,292,0,[47001 45386 21860 43319],33,0,False
292,293,0,[25771 19626 36953  6506],33,1,True
293,294,0,[ 5626 19991 26427   993],40,2,False
294,295,0,[31892 33484 17659 50499],40,1,True
295,296,0,[51172  4789 12604 38065],33,2,True
296,297,0,[21171  5628 28565 51946],33,2,False
297,298,0,[43810 23504 44377 32560],40,0,True
298,299,0,[24488 29905 44751   454],33,2,True
299,300,0,[50013  6469  9918  7325],33,3,False
300,301,0,[24584 20690 37667  1117],40,3,False
301,302,0,[ 1832  1911 39664 40939],33,2,True
302,303,0,[44743 15173 48352 29619],40,0,True
303,304,0,[17147 12439 11305 44903],33,1,True
304,305,0,[  427 33983   618 46951],40,0,True
305,306,0,[38783 10267 39332 11108],33,1,True
306,307,0,[35186  8958 33427 24507],33,0,False
307,308,0,[ 6426 48643 49601 38845],40,0,True
308,309,0,[ 3982 44531 34850  6906],33,0,False
309,310,0,[51739  2107 22901 23360],40,1,True
310,311,0,[  400 16353 43928   261],40,1,False
311,312,0,[48909 48052  5140 29853],33,2,True
312,313,0,[25507 38204 24118  4246],40,1,True
313,314,0,[34502 34904 47361 50122],40,0,True
314,315,0,[41470  1409 11425 39052],40,1,True
315,316,0,[ 9662 30372 24236 42820],40,1,False
316,317,0,[27646  4248 52461 28263],33,2,False
317,318,0,[  475 12926 33289 27229],40,3,True
318,319,0,[23617  3396 25941 51804],33,1,False
319,320,0,[ 2282  5082 42731  3116],33,1,True
320,321,0,[22507 40693 17390   962],33,3,True
321,322,0,[26866 20817 47664 43722],33,0,True
322,323,0,[34998 14158  7500 30868],33,2,True
323,324,0,[25129 22833  6793 20322],40,3,False
324,325,0,[49383 47359 18147 25690],33,0,False
325,326,0,[30142 18370 41571 46693],40,1,False
326,327,0,[ 3391 17668 51474 24041],40,1,True
327,328,0,[ 1961 38657 49545 39734],40,0,False
328,329,0,[15829 52101 38374  1846],33,0,True
329,330,0,[41866  4663 40004 47598],33,3,False
330,331,0,[ 9625 33982 33571 15222],40,0,True
331,332,0,[38359 18575 27409 28702],33,2,True
332,333,0,[19645 42310 34585 49470],33,0,True
333,334,0,[44634 23034 49642 37298],40,3,False
334,335,0,[37317 34457 38493 37947],40,0,False
335,336,0,[16261 22143 14621 34597],33,3,True
336,337,0,[31071 48943 32680 42483],33,1,True
337,338,0,[ 8122 44689  1092 49084],40,2,True
338,339,0,[26955 18732 39350  8934],40,0,False
339,340,0,[47094 35880  8450 17500],40,1,False
340,341,0,[34971 14504 31548 30499],40,0,False
341,342,0,[14580 34377 28424 34696],33,2,True
342,343,0,[37023 40895 35416 27407],40,0,True
343,344,0,[ 7545 31519 21911   775],40,3,True
344,345,0,[37607  2189  6615 42819],40,1,False
345,346,0,[14676 23044 21681 34554],33,3,True
346,347,0,[38799 47596   103  7693],40,3,False
347,348,0,[28641  6776 38375 46666],33,1,True
348,349,0,[39015 21115 15342 51251],33,3,False
349,350,0,[22590 14029 46798 51516],33,3,False
350,351,0,[ 1396 22222 21050 13584],33,3,True
351,352,0,[17583  5331 52318 29946],33,3,False
352,353,0,[45997 32400 16815 35220],40,3,True
353,354,0,[ 1219 23463 15303 12641],33,3,False
354,355,0,[49618  2747 33955 26707],33,0,False
355,356,0,[17547  4742 27363 51459],40,1,False
356,357,0,[14754 13339 37975 42701],40,1,False
357,358,0,[47542 23468 21278 22315],40,3,True
358,359,0,[34976   583 28304 32093],33,0,True
359,360,0,[23824 23121 22649 39822],40,1,False
360,361,0,[ 8764  6512 31635 45481],40,3,False
361,362,0,[48863   961 52463 48558],40,3,False
362,363,0,[45068 52152 11994  8019],33,2,True
363,364,0,[35731 48829  5965 39607],33,1,True
364,365,0,[14294 48939 50546 21268],40,2,True
365,366,0,[ 6487 51887 18124 27796],33,1,True
366,367,0,[ 9702  6161 16754  7280],40,1,False
367,368,0,[26168   597  2130 16359],40,1,True
368,369,0,[ 2617 50317 12382 42392],40,3,True
369,370,0,[46489 46081 25507 26195],40,1,False
370,371,0,[42564 39319 22429 28600],33,1,False
371,372,0,[45844 40131 17044 40664],40,3,False
372,373,0,[ 8972 28901 28519 31960],33,1,False
373,374,0,[  369 34078 31984 38720],40,3,True
374,375,0,[46268 24646  4050 32311],40,2,False
375,376,0,[45618 32673  7684 41421],40,2,True
376,377,0,[ 8766 30654  5610 49587],33,3,True
377,378,0,[ 6443 41284 45364 51186],40,0,True
378,379,0,[19662 47023 42743 45688],33,3,True
379,380,0,[45790 19277 41218 46286],33,0,False
380,381,0,[17503 25201 24832 10082],33,3,True
381,382,0,[17717 15399  3391 25459],40,0,False
382,383,0,[51768 26541 38042 50364],33,3,True
383,384,0,[35483 48331 22297 50094],40,0,False
384,385,0,[ 1762 51266   781 29976],40,0,True
385,386,0,[31122 35047 26567 27855],33,3,True
386,387,0,[15978 36320 30662 12434],40,0,False
387,388,0,[41228 31211 37042  7669],33,1,True
388,389,0,[10162 21146  4422 38832],33,3,True
389,390,0,[ 1483  8978 24400 46981],33,3,False
390,391,0,[13537 28878 48582  3710],40,2,True
391,392,0,[24431 13949 15433 37752],40,0,True
392,393,0,[ 5606 15923 28953 21397],40,2,True
393,394,0,[34284 24403  1083 42656],40,1,True
394,395,0,[46171 21916  7652 17909],40,1,True
395,396,0,[49172 41365 10781 43617],33,0,False
396,397,0,[38031 37685 51082 13905],33,0,False
397,398,0,[27665 33487  3734 49666],33,1,True
398,399,0,[  944   202 18537 47516],33,1,False
399,400,0,[ 8624 44178 48942 22083],40,2,False
400,401,0,[41170 38645 41758 35422],33,1,True
401,402,0,[43696 32976 38778 28324],33,3,True
402,403,0,[22952 10057 13409 45935],33,3,True
403,404,0,[10087 39722 39425 29967],40,2,True
404,405,0,[37798 29167 36408 52181],33,0,False
405,406,0,[17055 43043    11  3052],33,2,True
406,407,0,[28964 12465 41641   216],33,1,True
407,408,0,[32489 11529 14610 16817],40,0,False
408,409,0,[34078 26874 52456 41781],33,2,True
409,410,0,[42422  2948 22885 40737],40,1,False
410,411,0,[42091 16595 48615 29327],33,2,False
411,412,0,[29618 48938 37458 11923],33,2,True
412,413,0,[50804 20443  9698 20354],33,1,True
413,414,0,[26011 30831  3330 14490],33,3,False
414,415,0,[ 5695 13637  5743 48853],33,0,False
415,416,0,[44251 48505  6322  3919],40,0,True
416,417,0,[42880 35115 27992 37327],40,1,False
417,418,0,[15827 40930 13392 27226],33,0,True
418,419,0,[40049 23425 22002 23510],40,3,False
419,420,0,[33366 33281 19002  6750],33,2,False
420,421,0,[50794 26705  9055 13486],33,3,True
421,422,0,[40130 12702 29091 39334],40,2,False
422,423,0,[24012 20170 21690  3824],40,1,False
423,424,0,[11133 18180 26019 19065],40,0,True
424,425,0,[32985 25734  7393  7580],33,2,False
425,426,0,[21858 40068 47733 48940],33,1,True
426,427,0,[14509  9303 28886 20693],33,3,False
427,428,0,[12558 13563  6223 18774],40,3,True
428,429,0,[37523 10966 12480 13227],40,0,False
429,430,0,[37089 11524 46183 44252],40,0,False
430,431,0,[22174 26703 16440  1650],40,1,False
431,432,0,[ 4880 21988 34785 11084],40,0,True
432,433,0,[22422 11396 20551 35355],40,2,False
433,434,0,[39432  3744  5880 43869],33,3,True
434,435,0,[ 5570  1707   817 27936],33,3,False
435,436,0,[44157 40982  8362 16190],40,2,True
436,437,0,[11926 22169  4768  8731],40,1,True
437,438,0,[46599  5700 19785 13821],40,1,False
438,439,0,[ 6880 40679 13449 52210],33,0,False
439,440,0,[ 7772  3269  6306 23298],33,0,True
440,441,0,[47655 12787 30217 10071],33,3,False
441,442,0,[41807 24095 30618 13781],40,0,True
442,443,0,[16474 19062 46350 17249],33,1,True
443,444,0,[45981 52181 38888 17451],33,1,False
444,445,0,[28726   768 40074 17598],33,1,False
445,446,0,[41270 18937 17584 44430],33,0,True
446,447,0,[43130  5716  9882  2321],33,1,False
447,448,0,[34683 44794   844 28918],40,1,False
448,449,0,[50595 33439 12170 41386],33,1,False
449,450,0,[ 6394  7454 13190 20456],40,0,False
450,451,0,[14572 21448 51199 38286],40,1,False
451,452,0,[51883 47526 44924 37526],33,2,True
452,453,0,[ 6732  1976 12332 15797],33,3,False
453,454,0,[18835 19528  5870 38145],33,0,False
454,455,0,[ 4013 24371  1827 24215],40,3,False
455,456,0,[47672 39263 35351 37794],33,0,False
456,457,0,[27840 42991 24792 43711],33,2,False
457,458,0,[13068 41794 32696 49552],40,1,True
458,459,0,[ 3737  7258 51666 11800],40,2,False
459,460,0,[19932 11161 13954   527],33,2,False
460,461,0,[21562  5537 12150 51444],33,2,True
461,462,0,[12379 35708 51506 28761],40,1,True
462,463,0,[39081 16068 24362 20784],33,2,True
463,464,0,[14730 19123 39425   511],40,0,False
464,465,0,[27300 37413 25372 42635],40,3,True
465,466,0,[52448 33515 30822 47918],33,1,True
466,467,0,[10757 28262  8324 14143],40,1,False
467,468,0,[24614 46503 18240 35469],40,0,True
468,469,0,[39442 17701 42690  5427],33,0,True
469,470,0,[20266  2005 13111 45797],33,3,False
470,471,0,[12897  7907  1209 36519],33,3,False
471,472,0,[14290 12956  6043  2390],40,1,False
472,473,0,[13489 36691  8820  9320],40,1,True
473,474,0,[42192 25109   322  2154],33,3,False
474,475,0,[31538 18930  6472 47407],33,2,False
475,476,0,[20488 28805  7154 29211],33,2,False
476,477,0,[34084 30480  3523 38497],33,0,True
477,478,0,[37115 19450 20456  9762],33,2,False
478,479,0,[34424 41923 13996  7563],33,1,False
479,480,0,[36173 20373 10745 23427],33,2,False
480,481,0,[ 3598  1189 47091 14155],40,0,False
481,482,0,[43557  5516 34775 29065],33,3,False
482,483,0,[39292 46152 40403 39991],33,3,False
483,484,0,[13992 26588 13045  1071],40,3,False
484,485,0,[36248 50400 14041 16311],33,1,True
485,486,0,[39815 36124 30600 51287],33,3,True
486,487,0,[50957 28036  5625 52325],33,0,True
487,488,0,[24590 12502 27681 14209],33,3,True
488,489,0,[23007 35946 14723 28504],40,0,True
489,490,0,[49039 39570 26805  4123],40,2,True
490,491,0,[47429  3535 16634 21797],33,3,False
491,492,0,[30392 48740 15817 45244],33,3,False
492,493,0,[21355 10451 27783 14347],33,2,False
493,494,0,[ 1016 47870  5822 30141],40,2,False
494,495,0,[12195 33664 20171 32477],40,3,True
495,496,0,[31685 42922 26507 42010],33,3,True
496,497,0,[35815 17792 21178 44739],33,2,True
497,498,0,[30545 34061 43841 16501],40,2,True
498,499,0,[27226 42055 15831 27861],40,0,True
499,500,0,[40334 49543 42186 15663],40,2,False
500,501,0,[ 5639 18160  4256 28552],40,1,True
501,502,0,[38891  9654  8868   561],33,2,False
502,503,0,[28768 10912 16008 48071],33,1,False
503,504,0,[38086 21569  9011 45136],40,1,True
504,505,0,[42651 10962  1609 34493],33,3,False
505,506,0,[ 3628  8178 32092 42308],40,1,False
506,507,0,[ 9306 47250  3300 46196],33,1,False
507,508,0,[ 6787 15818 47982 51530],40,1,True
508,509,0,[14013 34003 26181 21104],40,3,True
509,510,0,[ 5279 42700  4155 48521],40,1,True
510,511,0,[28098 37337 51396 34270],33,3,True
511,512,0,[13495   551 11630 52480],33,2,False
512,513,0,[47419 27949 12915 36900],33,1,False
513,514,0,[47669 46275 44108 33538],33,3,False
514,515,0,[  466 21589 47481 10714],40,3,False
515,516,0,[49191 25791 16629 30660],33,2,False
516,517,0,[20270  6322  2374  4933],33,3,False
517,518,0,[31664   164 51718 19324],40,3,False
518,519,0,[38900  7628  3160 14632],40,3,True
519,520,0,[10709 17861  2132 43465],40,3,False
520,521,0,[ 9288 36557 21054 21726],33,3,False
521,522,0,[50634 21744  8503 51532],40,3,False
522,523,0,[29484  1814 43238 30592],33,2,False
523,524,0,[18279 38196  8184 45907],33,2,True
524,525,0,[ 3000  1520 15232 32004],40,0,False
525,526,0,[23842 28689 14781  1951],33,2,False
526,527,0,[ 9697 10131 16516 20663],40,1,True
527,528,0,[48122  6867  6681 52171],40,3,True
528,529,0,[10051  8266   423  9879],33,1,False
529,530,0,[24077 27355  2197 48493],40,0,True
530,531,0,[21294 15848 23467 24056],33,2,True
531,532,0,[41757 29877 10733 15632],40,0,True
532,533,0,[ 3909 28908  2712 23189],40,0,False
533,534,0,[30840 49508  7375  6129],33,1,False
534,535,0,[41418 22577 48671 30423],33,3,False
535,536,0,[13225 19735 29917  8983],40,0,True
536,537,0,[17703 46678 41248 20198],33,2,True
537,538,0,[ 2566 31132  1300 17188],40,0,True
538,539,0,[25553 20960 24463 14718],40,1,False
539,540,0,[37628 12172 17068 47744],33,2,False
540,541,0,[ 5745 14521   368  1362],40,1,True
541,542,0,[14391  5976 28955 10355],40,0,False
542,543,0,[ 1745 37176 10625 34947],33,3,False
543,544,0,[28647 47722  5511 40691],33,0,True
544,545,0,[40328 13840 30500 12914],33,3,False
545,546,0,[31535  6341  9768  8509],33,3,False
546,547,0,[24272 51883  6857 15639],33,0,True
547,548,0,[45944 34373 42755 32659],33,1,False
548,549,0,[10027 10192 11930 25953],33,3,False
549,550,0,[37742 33479 36844 46954],33,0,True
550,551,0,[20711 50887 46521  7710],33,1,False
